dtt,rainsum,hidroyear
2024-03-24,313.20000000000005,2020
2024-03-29,314.6,2020
2024-04-03,341.6,2020
2024-04-08,347.20000000000005,2020
2024-04-13,352.00000000000006,2020
2024-04-18,358.80000000000007,2020
2024-04-23,360.20000000000005,2020
2024-04-28,361.40000000000003,2020
2024-05-03,362.20000000000005,2020
2024-05-08,372.80000000000007,2020
2024-05-13,374.80000000000007,2020
2024-05-18,376.20000000000005,2020
2024-05-23,376.20000000000005,2020
2024-05-28,381.6,2020
2024-06-02,381.6,2020
2024-06-07,385.20000000000005,2020
2024-06-12,388.20000000000005,2020
2024-06-17,388.20000000000005,2020
2024-06-22,388.20000000000005,2020
2024-06-27,388.20000000000005,2020
2024-07-02,395.00000000000006,2020
2024-07-07,395.20000000000005,2020
2024-07-12,400.40000000000003,2020
2024-07-17,400.40000000000003,2020
2024-07-22,401.40000000000003,2020
2024-07-27,401.40000000000003,2020
2024-08-01,401.8,2020
2024-08-06,404.6,2020
2024-08-11,406.20000000000005,2020
2024-08-16,406.80000000000007,2020
2024-08-21,406.80000000000007,2020
2024-08-26,406.80000000000007,2020
2024-08-31,407.80000000000007,2020
2023-09-05,1.4,2021
2023-09-10,8.200000000000001,2021
2023-09-15,11.000000000000002,2021
2023-09-20,12.200000000000001,2021
2023-09-25,18.6,2021
2023-09-30,18.6,2021
2023-10-05,20.8,2021
2023-10-10,22.2,2021
2023-10-15,42.8,2021
2023-10-20,42.8,2021
2023-10-25,42.8,2021
2023-10-30,46.8,2021
2023-11-04,57.4,2021
2023-11-09,57.4,2021
2023-11-14,65.6,2021
2023-11-19,66.8,2021
2023-11-24,68.8,2021
2023-11-29,97.6,2021
2023-12-04,102.39999999999999,2021
2023-12-09,102.39999999999999,2021
2023-12-14,109.39999999999999,2021
2023-12-19,136.2,2021
2023-12-24,171.39999999999998,2021
2023-12-29,191.79999999999998,2021
2024-01-03,194.2,2021
2024-01-08,194.6,2021
2024-01-13,197.0,2021
2024-01-18,209.8,2021
2024-01-23,225.0,2021
2024-01-28,231.6,2021
2024-02-02,260.8,2021
2024-02-07,276.2,2021
2024-02-12,276.59999999999997,2021
2024-02-17,280.4,2021
2024-02-22,301.2,2021
2024-02-27,308.59999999999997,2021
2024-03-04,338.59999999999997,2021
2024-03-09,340.4,2021
2024-03-14,354.2,2021
2024-03-19,372.2,2021
2024-03-24,377.59999999999997,2021
2024-03-29,383.59999999999997,2021
2024-04-03,407.59999999999997,2021
2024-04-08,407.79999999999995,2021
2024-04-13,407.99999999999994,2021
2024-04-18,407.99999999999994,2021
2024-04-23,407.99999999999994,2021
2024-04-28,407.99999999999994,2021
2024-05-03,407.99999999999994,2021
2024-05-08,412.99999999999994,2021
2024-05-13,412.99999999999994,2021
2024-05-18,412.99999999999994,2021
2024-05-23,412.99999999999994,2021
2024-05-28,412.99999999999994,2021
2024-06-02,413.59999999999997,2021
2024-06-07,413.79999999999995,2021
2024-06-12,414.99999999999994,2021
2024-06-17,414.99999999999994,2021
2024-06-22,414.99999999999994,2021
2024-06-27,414.99999999999994,2021
2024-07-02,415.19999999999993,2021
2024-07-07,417.3999999999999,2021
2024-07-12,417.3999999999999,2021
2024-07-17,417.3999999999999,2021
2024-07-22,417.3999999999999,2021
2024-07-27,417.3999999999999,2021
2024-08-01,417.3999999999999,2021
2024-08-06,422.7999999999999,2021
2024-08-11,423.5999999999999,2021
2024-08-16,433.5999999999999,2021
2024-08-21,433.5999999999999,2021
2024-08-26,433.5999999999999,2021
2024-08-31,433.5999999999999,2021
2023-09-05,10.999999999999998,2022
2023-09-10,10.999999999999998,2022
2023-09-15,11.399999999999999,2022
2023-09-20,11.399999999999999,2022
2023-09-25,11.599999999999998,2022
2023-09-30,11.599999999999998,2022
2023-10-05,26.4,2022
2023-10-10,26.4,2022
2023-10-15,27.0,2022
2023-10-20,31.8,2022
2023-10-25,31.8,2022
2023-10-30,31.8,2022
2023-11-04,35.0,2022
2023-11-09,35.0,2022
2023-11-14,51.0,2022
2023-11-19,62.2,2022
2023-11-24,62.400000000000006,2022
2023-11-29,66.2,2022
2023-12-04,68.2,2022
2023-12-09,68.2,2022
2023-12-14,75.60000000000001,2022
2023-12-19,91.2,2022
2023-12-24,96.2,2022
2023-12-29,103.0,2022
2024-01-03,119.2,2022
2024-01-08,119.2,2022
2024-01-13,130.4,2022
2024-01-18,130.4,2022
2024-01-23,134.6,2022
2024-01-28,143.4,2022
2024-02-02,165.60000000000002,2022
2024-02-07,165.60000000000002,2022
2024-02-12,175.60000000000002,2022
2024-02-17,184.40000000000003,2022
2024-02-22,187.20000000000005,2022
2024-02-27,187.20000000000005,2022
2024-03-04,187.60000000000005,2022
2024-03-09,187.60000000000005,2022
2024-03-14,192.00000000000006,2022
2024-03-19,195.40000000000006,2022
2024-03-24,199.40000000000006,2022
2024-03-29,217.60000000000008,2022
2024-04-03,231.60000000000008,2022
2024-04-08,238.4000000000001,2022
2024-04-13,238.4000000000001,2022
2024-04-18,238.4000000000001,2022
2024-04-23,238.4000000000001,2022
2024-04-28,238.4000000000001,2022
2024-05-03,246.2000000000001,2022
2024-05-08,269.8000000000001,2022
2024-05-13,274.60000000000014,2022
2024-05-18,274.60000000000014,2022
2024-05-23,274.60000000000014,2022
2024-05-28,274.60000000000014,2022
2024-06-02,277.8000000000001,2022
2024-06-07,289.8000000000001,2022
2024-06-12,293.8000000000001,2022
2024-06-17,293.8000000000001,2022
2024-06-22,293.8000000000001,2022
2024-06-27,293.8000000000001,2022
2024-07-02,299.60000000000014,2022
2024-07-07,301.8000000000001,2022
2024-07-12,302.60000000000014,2022
2024-07-17,302.60000000000014,2022
2024-07-22,302.60000000000014,2022
2024-07-27,302.60000000000014,2022
2024-08-01,302.60000000000014,2022
2024-08-06,322.40000000000015,2022
2024-08-11,322.40000000000015,2022
2024-08-16,323.40000000000015,2022
2024-08-21,323.40000000000015,2022
2024-08-26,323.40000000000015,2022
2024-08-31,323.40000000000015,2022
2023-09-05,3.6000000000000005,2023
2023-09-10,3.6000000000000005,2023
2023-09-15,6.000000000000001,2023
2023-09-20,6.400000000000001,2023
2023-09-25,6.400000000000001,2023
2023-09-30,6.600000000000001,2023
2023-10-05,8.600000000000001,2023
2023-10-10,8.600000000000001,2023
2023-10-15,11.200000000000001,2023
2023-10-20,11.4,2023
2023-10-25,15.4,2023
2023-10-30,15.4,2023
2023-11-04,17.0,2023
2023-11-09,18.2,2023
2023-11-14,43.2,2023
2023-11-19,43.400000000000006,2023
2023-11-24,48.400000000000006,2023
2023-11-29,68.60000000000001,2023
2023-12-04,70.00000000000001,2023
2023-12-09,70.20000000000002,2023
2023-12-14,76.00000000000001,2023
2023-12-19,87.20000000000002,2023
2023-12-24,87.20000000000002,2023
2023-12-29,87.60000000000002,2023
2024-01-03,100.80000000000003,2023
2024-01-08,104.20000000000003,2023
2024-01-13,104.20000000000003,2023
2024-01-18,109.20000000000003,2023
2024-01-23,115.00000000000003,2023
2024-01-28,120.00000000000003,2023
2024-02-02,139.40000000000003,2023
2024-02-07,147.60000000000002,2023
2024-02-12,147.60000000000002,2023
2024-02-17,174.00000000000003,2023
2024-02-22,226.60000000000002,2023
2024-02-27,235.40000000000003,2023
2024-03-04,243.00000000000003,2023
2024-03-09,248.00000000000003,2023
2024-03-14,251.20000000000002,2023
2024-03-19,256.0,2023
2024-03-24,274.8,2023
2024-03-29,275.0,2023
2024-04-03,297.2,2023
2024-04-08,297.2,2023
2024-04-13,297.2,2023
2024-04-18,297.2,2023
2024-04-23,297.2,2023
2024-04-28,297.2,2023
2024-05-03,302.4,2023
2024-05-08,302.4,2023
2024-05-13,302.4,2023
2024-05-18,315.59999999999997,2023
2024-05-23,315.59999999999997,2023
2024-05-28,315.59999999999997,2023
2024-06-02,330.59999999999997,2023
2024-06-07,337.59999999999997,2023
2024-06-12,337.59999999999997,2023
2024-06-17,337.59999999999997,2023
2024-06-22,337.59999999999997,2023
2024-06-27,337.59999999999997,2023
2024-07-02,348.4,2023
2024-07-07,354.59999999999997,2023
2024-07-12,354.59999999999997,2023
2024-07-17,354.59999999999997,2023
2024-07-22,354.59999999999997,2023
2024-07-27,354.59999999999997,2023
2024-08-01,354.59999999999997,2023
2024-08-06,368.4,2023
2024-08-11,368.4,2023
2024-08-16,368.4,2023
2024-08-21,368.4,2023
2024-08-26,368.4,2023
2024-08-31,368.4,2023
